date	close	volume	open	high	low
8/24/2017	3.09	177509	3.05	3.13	2.9721
8/23/2017	2.99	76144	2.95	3.09	2.91
8/22/2017	3	107102	2.89	3.03	2.81
8/21/2017	2.88	61966	2.88	2.9	2.81
8/18/2017	2.88	186068	2.99	2.99	2.85
8/17/2017	3.02	164027	3.14	3.16	3
8/16/2017	3.14	301884	3.23	3.26	3
8/15/2017	3.18	498686	3.25	3.34	3.07
8/14/2017	3.09	311632	3.05	3.19	2.9954
8/11/2017	2.98	151510	2.86	3	2.82
8/10/2017	2.81	179777	3.03	3.1	2.78
8/9/2017	3.03	177895	2.87	3.06	2.81
8/8/2017	2.88	419653	2.8	3.4	2.78
8/7/2017	2.8	112488	2.98	3.0484	2.8
8/4/2017	2.94	337112	2.6	2.97	2.595
8/3/2017	2.61	138951	2.62	2.68	2.52
8/2/2017	2.6	150615	2.72	2.77	2.58
8/1/2017	2.72	202372	2.87	2.94	2.65
7/31/2017	2.89	179498	2.78	2.95	2.75
7/28/2017	2.79	132334	2.74	2.8384	2.74
7/27/2017	2.77	304620	2.83	2.88	2.7
7/26/2017	2.83	157944	2.92	3	2.81
7/25/2017	2.94	183053	3.05	3.11	2.93
7/24/2017	3.04	141391	3.09	3.14	3
7/21/2017	3.09	115267	3.17	3.2283	3.05
7/20/2017	3.1	106801	3.09	3.18	3.03
7/19/2017	3.1	171109	3.07	3.14	3.0101
7/18/2017	3.05	162440	3.02	3.09	2.98
7/17/2017	3.04	167945	3.1	3.26	3.01
7/14/2017	3.09	192278	3.11	3.175	3.07
7/13/2017	3.15	209606	3.24	3.26	3.11
7/12/2017	3.25	267968	3.23	3.4	3.2
7/11/2017	3.2	159548	3.18	3.29	3.141
7/10/2017	3.22	242391	3.36	3.4	3.15
7/7/2017	3.39	119880	3.35	3.45	3.305
7/6/2017	3.32	189370	3.33	3.44	3.25
7/5/2017	3.35	135196	3.29	3.4	3.25
7/3/2017	3.29	76584	3.25	3.33	3.16
6/30/2017	3.24	256082	3.41	3.4499	3.21
6/29/2017	3.4	253364	3.39	3.53	3.18
6/28/2017	3.38	230400	3.19	3.38	3.11
6/27/2017	3.17	259060	3.2	3.32	3.13
6/26/2017	3.22	370039	3.13	3.3434	3.08
6/23/2017	3.18	3847804	3.2	3.32	2.95
6/22/2017	3.19	340357	3.21	3.36	3.15
6/21/2017	3.18	243266	2.99	3.26	2.99
6/20/2017	2.98	252496	3.04	3.1	2.97
6/19/2017	3.02	181408	2.97	3.135	2.94
6/16/2017	2.98	192688	3.01	3.07	2.92
6/15/2017	3.04	144737	3.06	3.3	3.02
6/14/2017	3.02	165506	3.08	3.13	2.98
6/13/2017	3.09	230294	3.01	3.23	2.95
6/12/2017	3.01	288875	3.2	3.25	2.94
6/9/2017	3.19	125568	3.29	3.4	3.12
6/8/2017	3.29	113097	3.24	3.4051	3.21
6/7/2017	3.3	129383	3.27	3.35	3.22
6/6/2017	3.29	116344	3.3	3.39	3.18
6/5/2017	3.31	199338	3.54	3.5754	3.3
6/2/2017	3.55	144402	3.36	3.58	3.36
6/1/2017	3.37	240461	3.39	3.51	3.35
5/31/2017	3.37	183996	3.34	3.44	3.19
5/30/2017	3.33	248257	3.21	3.54	3.14
5/26/2017	3.28	314857	3.45	3.575	3.28
5/25/2017	3.45	200835	3.6	3.68	3.43
5/24/2017	3.6	110411	3.61	3.73	3.56
5/23/2017	3.64	213089	3.8	3.87	3.6
5/22/2017	3.78	151065	3.98	4.035	3.77
5/19/2017	3.97	215265	3.86	4.09	3.86
5/18/2017	3.83	126540	3.89	3.93	3.76
5/17/2017	3.93	133462	3.99	4	3.8
5/16/2017	4.06	1177517	4.01	4.18	3.43
5/15/2017	4.11	289376	4.1	4.17	4
5/12/2017	4.01	87151	3.98	4.0999	3.94
5/11/2017	3.99	172367	4.02	4.06	3.93
5/10/2017	4.08	195394	4.1	4.24	4.04
5/9/2017	4.01	221419	4.21	4.21	3.91
5/8/2017	4.21	74494	4.32	4.5399	4.18
5/5/2017	4.34	394478	4.33	4.36	4.12
5/4/2017	4.29	184065	4.51	4.51	4.25
5/3/2017	4.48	195994	4.69	4.69	4.38
