date	close	volume	open	high	low
8/10/2011	2.88	642463	3.08	3.08	2.88
8/9/2011	3.15	951882	3.15	3.19	2.85
8/8/2011	3.05	1628761	3.13	3.34	3.05
8/5/2011	3.41	842489	3.57	3.65	3.34
8/4/2011	3.59	694198	3.8	3.86	3.59
8/3/2011	3.9	364306	3.96	3.96	3.73
8/2/2011	3.94	353774	4.05	4.09	3.94
8/1/2011	4.06	268479	4.15	4.22	4
7/29/2011	4.08	469435	4	4.09	3.92
7/28/2011	4.02	282562	4.01	4.09	4
7/27/2011	4	525600	4.19	4.25	4
7/26/2011	4.2	326837	4.27	4.27	4.17
7/25/2011	4.25	284193	4.23	4.28	4.16
7/22/2011	4.3	329270	4.22	4.325	4.19
7/21/2011	4.21	373406	4.17	4.22	4.15
7/20/2011	4.17	365696	4.12	4.19	4.09
7/19/2011	4.14	546490	4.1	4.17	4.081
7/18/2011	4.07	350928	4.1	4.16	4.06
7/15/2011	4.13	479683	4.13	4.16	4.08
7/14/2011	4.12	416557	4.15	4.19	4.1
7/13/2011	4.15	674499	4.16	4.2295	4.1
7/12/2011	4.06	273375	4.06	4.1	4
7/11/2011	4.07	339349	4.12	4.12	4
7/8/2011	4.18	297632	4.15	4.19	4.01
7/7/2011	4.21	638712	4.09	4.23	4.0404
7/6/2011	4.04	224450	4.02	4.06	4.01
7/5/2011	4.04	200972	4.09	4.09	4.0195
7/1/2011	4.09	317517	4.06	4.09	4.03
6/30/2011	4.07	375169	4.1	4.13	4.05
6/29/2011	4.09	725530	3.93	4.139	3.89
6/28/2011	3.92	307416	3.81	3.92	3.7702
6/27/2011	3.78	337705	3.8	3.87	3.73
6/24/2011	3.82	529467	3.81	3.83	3.73
6/23/2011	3.82	467604	3.67	3.85	3.61
6/22/2011	3.73	368002	3.75	3.81	3.71
6/21/2011	3.79	453361	3.78	3.82	3.725
6/20/2011	3.75	467276	3.74	3.81	3.72
6/17/2011	3.78	657961	3.77	3.8	3.72
6/16/2011	3.72	586517	3.62	3.8	3.58
6/15/2011	3.61	642855	3.68	3.72	3.599
6/14/2011	3.7	628700	3.69	3.83	3.61
6/13/2011	3.64	732560	3.83	3.85	3.61
6/10/2011	3.81	448856	3.93	4.02	3.81
6/9/2011	3.94	536571	4.04	4.065	3.93
6/8/2011	3.98	765867	4.03	4.07	3.84
6/7/2011	4.01	1045822	4.15	4.21	3.97
6/6/2011	4.1	1043629	4.22	4.2899	4.09
6/3/2011	4.2	1015678	4.27	4.42	4.2
6/2/2011	4.37	675782	4.3	4.405	4.21
6/1/2011	4.27	859626	4.42	4.465	4.26
5/31/2011	4.42	2911403	4.36	4.42	4.25
5/27/2011	4.3	938623	4.21	4.32	4.21
5/26/2011	4.2	744210	4.02	4.22	4.02
5/25/2011	4.03	846552	3.89	4.05	3.89
5/24/2011	3.91	455088	4	4	3.9
5/23/2011	4	457870	3.93	4	3.88
5/20/2011	4	1596931	4.08	4.08	3.9
5/19/2011	4.08	1287222	4.1	4.17	4.01
5/18/2011	4.09	732620	4.05	4.13	3.98
5/17/2011	4	1619023	3.77	4.2	3.77
5/16/2011	3.76	441234	3.8	3.97	3.76
5/13/2011	3.8	380280	3.96	4	3.8
5/12/2011	3.98	288525	3.91	3.99	3.841
5/11/2011	3.94	279982	4	4.04	3.91
5/10/2011	4.03	297756	4.01	4.07	3.96
5/9/2011	4.01	174726	3.91	4.01	3.85
5/6/2011	3.91	218731	3.9	3.95	3.86
5/5/2011	3.85	323229	3.89	3.94	3.84
5/4/2011	3.88	497358	3.96	4.1	3.88
5/3/2011	3.98	485221	3.91	4.01	3.84
5/2/2011	3.9	844778	4.29	4.32	3.9
4/29/2011	4.23	1259793	4.05	4.24	4.01
4/28/2011	4.05	249124	4	4.07	3.98
4/27/2011	4	409944	3.88	4	3.79
4/26/2011	3.89	315987	3.76	3.89	3.75
4/25/2011	3.76	159998	3.79	3.79	3.75
4/21/2011	3.78	156282	3.8	3.81	3.75
4/20/2011	3.77	197603	3.8	3.81	3.75
4/19/2011	3.76	201865	3.76	3.79	3.75
4/18/2011	3.75	339227	3.77	3.78	3.75
4/15/2011	3.83	275835	3.81	3.84	3.76
4/14/2011	3.85	229897	3.75	3.85	3.75
4/13/2011	3.78	273882	3.76	3.8	3.76
4/12/2011	3.75	502880	3.85	3.85	3.75
4/11/2011	3.89	230538	3.92	3.97	3.865
4/8/2011	3.92	355764	3.93	3.97	3.88
4/7/2011	3.9	425026	4.01	4.05	3.89
4/6/2011	4.01	999530	4	4.14	3.95
4/5/2011	3.96	610962	3.75	3.97	3.75
4/4/2011	3.75	180857	3.78	3.78	3.7
4/1/2011	3.76	451286	3.82	3.9	3.72
3/31/2011	3.82	555244	3.66	3.85	3.66
3/30/2011	3.7	626971	3.66	3.74	3.63
3/29/2011	3.65	871826	3.5	3.7	3.46
3/28/2011	3.49	154282	3.55	3.56	3.48
3/25/2011	3.53	303391	3.51	3.59	3.49
3/24/2011	3.49	268062	3.61	3.6199	3.46
3/23/2011	3.535	198578	3.49	3.55	3.45
3/22/2011	3.52	1169618	3.4	3.61	3.341
3/21/2011	3.4	357944	3.44	3.48	3.39
3/18/2011	3.4	327090	3.33	3.42	3.31
3/17/2011	3.32	194083	3.35	3.38	3.31
3/16/2011	3.28	313708	3.31	3.35	3.28
3/15/2011	3.33	477069	3.32	3.35	3.28
3/14/2011	3.37	250872	3.39	3.41	3.35
3/11/2011	3.43	296372	3.34	3.45	3.331
3/10/2011	3.34	386581	3.43	3.44	3.33
3/9/2011	3.37	333790	3.41	3.52	3.37
3/8/2011	3.41	258885	3.35	3.41	3.32
3/7/2011	3.35	250083	3.47	3.49	3.35
3/4/2011	3.47	336548	3.59	3.59	3.42
3/3/2011	3.58	322176	3.5	3.58	3.4999
3/2/2011	3.5	269622	3.49	3.5799	3.47
3/1/2011	3.48	440491	3.65	3.67	3.48
2/28/2011	3.66	1207410	3.58	3.76	3.57
2/25/2011	3.58	719919	3.5	3.59	3.41
2/24/2011	3.43	483291	3.34	3.44	3.3
2/23/2011	3.33	510499	3.304	3.41	3.25
2/22/2011	3.27	407501	3.44	3.46	3.26
2/18/2011	3.49	636651	3.47	3.49	3.39
2/17/2011	3.43	314540	3.46	3.47	3.355
2/16/2011	3.47	523297	3.37	3.47	3.35
2/15/2011	3.36	441317	3.29	3.37	3.26
2/14/2011	3.31	277363	3.25	3.31	3.25
2/11/2011	3.24	178593	3.25	3.26	3.19
2/10/2011	3.22	199765	3.19	3.25	3.18
2/9/2011	3.21	385220	3.26	3.31	3.18
2/8/2011	3.28	189758	3.26	3.35	3.26
2/7/2011	3.28	269937	3.27	3.3	3.2301
2/4/2011	3.26	250017	3.3	3.3	3.21
2/3/2011	3.29	182862	3.29	3.31	3.25
2/2/2011	3.31	148922	3.25	3.31	3.25
2/1/2011	3.26	382480	3.29	3.3	3.23
1/31/2011	3.27	334331	3.27	3.34	3.24
1/28/2011	3.26	550176	3.35	3.4	3.23
1/27/2011	3.35	340108	3.38	3.43	3.34
1/26/2011	3.37	401263	3.36	3.42	3.35
1/25/2011	3.34	531722	3.47	3.5	3.32
1/24/2011	3.49	704999	3.65	3.65	3.41
1/21/2011	3.53	2673896	3.4	3.88	3.38
1/20/2011	3.37	219004	3.32	3.4	3.32
1/19/2011	3.34	399648	3.42	3.44	3.32
